id,host,dir
ioc-lm1k4-cvmi-ell-01,ctl-las-ip1-srv04,/reg/g/pcds/epics-dev/mods/lm1k4/cvmi/thorlabs-ell/
ioc-lm1k4-cvmi-gige-ff-01,ctl-las-ip1-srv04,/reg/g/pcds/epics-dev/mods/lm1k4/cvmi/gigECam/
ioc-lm1k4-cvmi-gige-nf-01,ctl-las-ip1-srv04,/reg/g/pcds/epics-dev/mods/lm1k4/cvmi/gigECam/
ioc-lm1k4-ejx-ek9000-01,ctl-las-ip1-srv05,/reg/g/pcds/epics-dev/mods/lm1k4/ejx/ek9000/
ioc-lm1k4-ejx-ell-01,ctl-las-ip1-srv05,/reg/g/pcds/epics-dev/mods/lm1k4/ejx/thorlabs-ell
ioc-lm1k4-ejx-ell-02,ctl-las-ip1-srv05,/reg/g/pcds/epics-dev/mods/lm1k4/ejx/thorlabs-ell
ioc-lm1k4-ejx-ell-03,ctl-las-ip1-srv05,/reg/g/pcds/epics-dev/mods/lm1k4/ejx/thorlabs-ell
ioc-lm1k4-ejx-ell-04,ctl-las-ip1-srv04,/reg/g/pcds/epics-dev/mods/lm1k4/ejx/thorlabs-ell
ioc-lm1k4-ejx-gige-ff-01,ctl-las-ip1-srv05,/reg/g/pcds/epics-dev/mods/lm1k4/ejx/gigECam/
ioc-lm1k4-ejx-gige-ff-02,ctl-las-ip1-srv05,/reg/g/pcds/epics-dev/mods/lm1k4/ejx/gigECam/
ioc-lm1k4-ejx-gige-nf-01,ctl-las-ip1-srv05,/reg/g/pcds/epics-dev/mods/lm1k4/ejx/gigECam/
ioc-lm1k4-ejx-spec-02,ctl-las-ip1-srv04,/reg/g/pcds/epics-dev/mods/lm1k4/ejx/qmini/
ioc-lm1k4-hrm-ek9000-01,ctl-las-ip1-srv03,/reg/g/pcds/epics-dev/mods/lm1k4/hrm/ek9000/
ioc-lm1k4-hrm-ell-01,ctl-las-ip1-srv03,/reg/g/pcds/epics-dev/mods/lm1k4/hrm/thorlabs-ell/
ioc-lm1k4-hrm-ell-02,ctl-las-crix-srv06,/reg/g/pcds/epics-dev/mods/lm1k4/hrm/thorlabs-ell/
